Year,MU,Catch_kt
1,MU1,100.3
2,MU1,141.4
3,MU1,96.9
4,MU1,131.7
5,MU1,109.3
6,MU1,113.9
7,MU1,88.5
8,MU1,105.1
9,MU1,56.5
10,MU1,92.2
11,MU1,109.2
12,MU1,106.7
13,MU1,111.9
14,MU1,134.9
15,MU1,135.8
16,MU1,132.3
17,MU1,147.7
18,MU1,154.5
19,MU1,127.7
20,MU1,157.5
21,MU1,129.8
22,MU1,155.8
23,MU1,96.9
24,MU1,63.9
25,MU1,53.3
26,MU1,51.8
27,MU1,49.9
28,MU1,64.3
29,MU1,72.9
30,MU1,87.1
31,MU1,74.4
32,MU1,68.7
33,MU1,94.7
34,MU1,79.6
35,MU1,51.1
36,MU1,56.6
37,MU1,44.4
38,MU1,63.8
39,MU1,44.5
40,MU1,47.5
41,MU1,51.9
42,MU1,40.5
43,MU1,51.6
44,MU1,53.7
45,MU1,53
46,MU1,51.4
47,MU1,36.7
48,MU1,37.2
49,MU1,29.3
50,MU1,36.2
1,MU2,0
2,MU2,0
3,MU2,0
4,MU2,0
5,MU2,0
6,MU2,0
7,MU2,0
8,MU2,0
9,MU2,0
10,MU2,0
11,MU2,0
12,MU2,0
13,MU2,0
14,MU2,0
15,MU2,0
16,MU2,0
17,MU2,0
18,MU2,0
19,MU2,0
20,MU2,0
21,MU2,0
22,MU2,0
23,MU2,0
24,MU2,0
25,MU2,7.7
26,MU2,8.3
27,MU2,10.3
28,MU2,3.3
29,MU2,10.9
30,MU2,7.7
31,MU2,8.5
32,MU2,8.4
33,MU2,8.8
34,MU2,7.6
35,MU2,6.3
36,MU2,4.6
37,MU2,8.6
38,MU2,10.6
39,MU2,3.9
40,MU2,8.4
41,MU2,5.7
42,MU2,9.3
43,MU2,9.8
44,MU2,7.9
45,MU2,4.9
46,MU2,4.4
47,MU2,3.7
48,MU2,6.9
49,MU2,8.9
50,MU2,10.8
1,MU3,0
2,MU3,0
3,MU3,0
4,MU3,0
5,MU3,0
6,MU3,0
7,MU3,0
8,MU3,0
9,MU3,0
10,MU3,0
11,MU3,0
12,MU3,0
13,MU3,0
14,MU3,0
15,MU3,0
16,MU3,0
17,MU3,0
18,MU3,0
19,MU3,0
20,MU3,0
21,MU3,0
22,MU3,0
23,MU3,0
24,MU3,0
25,MU3,6.1
26,MU3,5.5
27,MU3,6.6
28,MU3,10.1
29,MU3,4.2
30,MU3,3.5
31,MU3,4.3
32,MU3,10.4
33,MU3,8.6
34,MU3,5.7
35,MU3,3.7
36,MU3,2.2
37,MU3,9.8
38,MU3,6.1
39,MU3,6.4
40,MU3,9.7
41,MU3,7.5
42,MU3,1.4
43,MU3,5.5
44,MU3,1.3
45,MU3,6.2
46,MU3,5.5
47,MU3,7.7
48,MU3,7.6
49,MU3,6.4
50,MU3,3.7
