Year,PS_Catch_MU1,PS_Effort_MU1,BT_Index_MU1,BT_Index_MU1_2,Ac_Index_MU1,Ac_Index_MU1_3
1,84.6,NA,NA,NA,NA,NA
2,107.2,NA,NA,NA,NA,NA
3,59.5,NA,NA,NA,NA,NA
4,120.7,NA,NA,NA,NA,NA
5,86.3,NA,NA,NA,NA,NA
6,71,NA,NA,NA,NA,NA
7,65.5,NA,NA,NA,NA,NA
8,89.2,NA,NA,NA,NA,NA
9,36.1,NA,14.8,135.6,NA,NA
10,57.8,NA,31.5,142.4,NA,NA
11,90.2,2167,53.3,151.2,NA,NA
12,76.2,2080,29.2,205.1,NA,NA
13,78.5,2009,6.6,266.1,NA,NA
14,124.5,1790,24.2,152.1,NA,NA
15,96.3,1789,11.2,170.2,NA,NA
16,90.2,1583,162.7,969.4,NA,NA
17,105.6,1978,40.8,957.6,NA,NA
18,126.7,2163,30.2,141.5,NA,NA
19,119.3,2198,36.6,512.4,NA,NA
20,130.7,2390,23.3,468.5,NA,NA
21,98.6,2333,21.6,467.6,NA,NA
22,145.4,2418,81.5,696.8,NA,NA
23,68.6,2542,158.4,1059,NA,NA
24,47.7,2227,62.5,1500.9,NA,NA
25,43.5,1678,65.1,945.3,NA,NA
26,34.4,1585,74.9,339.2,1152,1222
27,37.2,1511,114.2,343.8,921,963
28,44.7,2355,61,652.5,1387,1497
29,46.2,1821,839.5,1977.1,1034,1122
30,67.1,1694,52.2,859.3,808,910
31,54.7,1703,420.3,1310,714,772
32,56.4,1913,299.7,1270,1195,1289
33,81.8,2148,168.1,747.5,933,1141
34,78.2,1536,140.4,2192.2,716,1044
35,46.5,1123,209.1,570.8,544,694
36,49.1,980,106.6,859.2,619,803
37,39.1,1034,297.9,591.6,817,1047
38,59.9,1132,73.6,319.4,533,623
39,33.4,1309,148.7,427.6,1030,1136
40,40,1286,99.4,805.7,593,797
41,39.8,1010,303,1008.9,793,943
42,34.4,927,241.3,731.1,654,736
43,40,986,284.6,1129.5,428,502
44,39.3,849,291.3,1278.4,651,861
45,42.8,819,120.1,702.3,707,859
46,43.5,869,373,1070.4,619,1079
47,33.1,648,346.4,751.9,716,974
48,33.8,596,155.1,464.9,587,877
49,24.4,499,169.1,581.2,439,895
50,29.4,553,39.8,1269.7,591,1103
